Species ID,Tribe,Origin
Haptri,Perissodini,Lake Tanganyika
Simmar,Tropheini,Lake Tanganyika
Cypkan,Cyprichromini,Lake Tanganyika
AltcoK,Lamprologini,Lake Tanganyika
JulmaN,Lamprologini,Lake Tanganyika
LamorC,Lamprologini,Lake Tanganyika
Tellon,Lamprologini,Lake Tanganyika
Trokas,Tropheini,Lake Tanganyika
Neolap,Lamprologini,Lake Tanganyika
Cypkib,Cyprichromini,Lake Tanganyika
Lamfin,Lamprologini,Lake Tanganyika
Trespn,Trematocarini,Lake Tanganyika
Neotoa,Lamprologini,Lake Tanganyika
Neobou,Lamprologini,Lake Tanganyika
Neotre,Lamprologini,Lake Tanganyika
Pettex,Tropheini,Lake Tanganyika
Petred,Tropheini,Lake Tanganyika
Altfas,Lamprologini,Lake Tanganyika
Plepar,Perissodini,Lake Tanganyika
Plestr,Perissodini,Lake Tanganyika
Psccur,Tropheini,Lake Tanganyika
Oretan,Oreochromini,Lake Tanganyika
Asplep,Ectodini,Lake Tanganyika
Astbur,Haplochromini,Lake Tanganyika
Altshe,Lamprologini,Lake Tanganyika
Bentri,Benthochromini,Lake Tanganyika
Boumic,Boulengerochromini,Lake Tanganyika
Auldew,Ectodini,Lake Tanganyika
BenhoM,Benthochromini,Lake Tanganyika
BenhoK,Benthochromini,Lake Tanganyika
CalplK,Ectodini,Lake Tanganyika
Chabif,Lamprologini,Lake Tanganyika
Chando,Lamprologini,Lake Tanganyika
Baicen,Limnochromini,Lake Tanganyika
Batfas,Bathybatini,Lake Tanganyika
Batfer,Bathybatini,Lake Tanganyika
Batgra,Bathybatini,Lake Tanganyika
Bathor,Bathybatini,Lake Tanganyika
Batleo,Bathybatini,Lake Tanganyika
Batmin,Bathybatini,Lake Tanganyika
Batvit,Bathybatini,Lake Tanganyika
Benhor,Benthochromini,Lake Tanganyika
Calmac,Ectodini,Lake Tanganyika
Calmel,Ectodini,Lake Tanganyika
Calple,Ectodini,Lake Tanganyika
Carsch,Ectodini,Lake Tanganyika
Chabri,Lamprologini,Lake Tanganyika
Chacya,Lamprologini,Lake Tanganyika
Chapop,Lamprologini,Lake Tanganyika
Copren,Coptodini,Lake Tanganyika
HemstZ,Bathybatini,Lake Tanganyika
Ctehor,Tropheini,Lake Tanganyika
Cunlon,Ectodini,Lake Tanganyika
Cyafoa,Ectodini,Lake Tanganyika
Cyafur,Ectodini,Lake Tanganyika
Cypcol,Cyprichromini,Lake Tanganyika
Cypdwj,Cyprichromini,Lake Tanganyika
Cphgib,Cyphotilapiini,Lake Tanganyika
Cteben,Cyphotilapiini,Lake Tanganyika
Cyplep,Cyprichromini,Lake Tanganyika
Cypmic,Cyprichromini,Lake Tanganyika
Cyppav,Cyprichromini,Lake Tanganyika
Cypzon,Cyprichromini,Lake Tanganyika
Ectdes,Ectodini,Lake Tanganyika
Enamel,Ectodini,Lake Tanganyika
Erecya,Eretmodini,Lake Tanganyika
Eremar,Eretmodini,Lake Tanganyika
